Property,Time,Value
RootQ.z,2.46666700,-0.00046410
RootQ.z,2.55000000,-0.00051185
RootQ.z,2.61666700,-0.00056714
RootQ.z,2.71666700,-0.00073959
RootQ.z,2.83333300,-0.00077951
RootQ.z,2.93333300,-0.00082127
RootQ.z,3.06666700,-0.00044541
RootQ.z,3.18333300,-0.00018419
RootQ.z,3.25000000,-0.00019003
RootQ.z,3.30000000,-0.00020829
RootQ.z,3.40000000,-0.00017542
RootQ.z,3.53333400,-0.00025926
RootQ.z,3.61666700,-0.00028462
RootQ.z,3.66666700,-0.00018605
RootQ.z,3.71666700,-0.00004646
RootQ.z,3.73333400,-0.00000853
RootQ.z,3.75000000,0.00002246
RootQ.z,3.80000000,0.00009356
RootQ.z,3.83333300,0.00015495
RootQ.z,3.91666700,0.00032946
RootQ.z,4.01666700,0.00032791
RootQ.z,4.11666700,0.00037675
RootQ.z,4.21666700,0.00037482
RootQ.z,4.31666700,0.00048163
RootQ.z,4.41666700,0.00060317
RootQ.z,4.53333400,0.00068985
RootQ.z,4.63333400,0.00081952
RootQ.z,4.75000000,0.00053968
RootQ.z,4.83333300,0.00035876
RootQ.z,4.91666700,0.00016134
RootQ.z,4.96666700,0.00009616
RootQ.z,5.01666700,0.00006334
RootQ.z,5.05000000,0.00004092
RootQ.z,5.08333300,0.00001977
RootQ.z,5.10000000,0.00001236
RootQ.z,5.11666700,0.00000880
RootQ.z,5.15000000,0.00001505
RootQ.z,5.18333300,0.00003544
RootQ.z,5.25000000,0.00004527
RootQ.z,5.26666700,0.00002272
RootQ.z,5.28333400,-0.00001404
RootQ.z,5.40000000,-0.00051115
RootQ.z,5.60000000,-0.00119687
RootQ.z,5.83333300,-0.00205979
RootQ.z,5.96666700,-0.00253246
RootQ.z,6.13333400,-0.00322171
RootQ.z,6.28333400,-0.00322235
RootQ.z,6.43333400,-0.00329972
RootQ.z,6.61666700,-0.00295333
RootQ.z,6.91666700,-0.00246344
RootQ.z,7.06666700,-0.00201888
RootQ.z,7.16666700,-0.00200185
RootQ.z,7.26666700,-0.00182073
RootQ.z,7.38333400,-0.00165886
RootQ.z,7.55000000,-0.00111635
RootQ.z,7.68333400,-0.00067551
RootQ.z,7.76666700,-0.00044391
RootQ.z,7.85000000,-0.00012162
RootQ.z,7.88333400,-0.00006522
RootQ.z,7.91666700,-0.00007484
RootQ.z,7.95000000,-0.00011867
RootQ.z,8.00000000,-0.00016536
RootQ.z,8.08333400,-0.00015017
RootQ.z,8.18333300,-0.00011889
RootQ.z,8.26666700,-0.00006194
RootQ.z,8.31666800,-0.00001607
RootQ.z,8.33333400,0.00000006
RootQ.w,0.00000000,1.00000000
RootQ.w,8.33333400,1.00000000
LeftFootT.x,0.00000000,-0.17659750
LeftFootT.x,0.71666670,-0.17600210
LeftFootT.x,1.53333300,-0.17315520
LeftFootT.x,2.35000000,-0.17094980
LeftFootT.x,3.18333300,-0.17359040
LeftFootT.x,4.00000000,-0.17587260
LeftFootT.x,4.81666700,-0.17425010
LeftFootT.x,5.65000000,-0.17267840
LeftFootT.x,6.36666700,-0.17247670
LeftFootT.x,7.18333400,-0.17478220
LeftFootT.x,8.00000000,-0.17652340
LeftFootT.x,8.33333400,-0.17659720
LeftFootT.y,0.00000000,-0.97137900
LeftFootT.y,8.33333400,-0.97137900
LeftFootT.z,0.00000000,0.04534778
LeftFootT.z,0.53333340,0.04268821
LeftFootT.z,0.78333340,0.04335605
LeftFootT.z,1.06666700,0.04207546
LeftFootT.z,1.43333300,0.03743355
LeftFootT.z,1.73333300,0.03201424
LeftFootT.z,1.95000000,0.02952118
LeftFootT.z,2.30000000,0.03056983
LeftFootT.z,2.65000000,0.03380001
LeftFootT.z,3.11666700,0.03576388
LeftFootT.z,3.35000000,0.03755914
LeftFootT.z,3.73333400,0.04291281
LeftFootT.z,3.98333400,0.04543097
LeftFootT.z,4.21666700,0.04555538
LeftFootT.z,4.58333300,0.04422181
LeftFootT.z,5.01666700,0.03995973
LeftFootT.z,5.25000000,0.03748979
LeftFootT.z,5.63333400,0.03352271
LeftFootT.z,5.96666700,0.03381082
LeftFootT.z,6.31666700,0.03514601
LeftFootT.z,6.76666700,0.03841854
LeftFootT.z,7.00000000,0.03863035
LeftFootT.z,7.23333400,0.03920336
LeftFootT.z,7.53333400,0.04124800
LeftFootT.z,7.76666700,0.04183777
LeftFootT.z,8.33333400,0.04534823
LeftFootQ.x,0.00000000,-0.46708270
LeftFootQ.x,0.81666670,-0.46630510
LeftFootQ.x,1.63333300,-0.46268070
LeftFootQ.x,2.46666700,-0.46297540
LeftFootQ.x,3.28333400,-0.46439760
LeftFootQ.x,4.11666700,-0.46697240
LeftFootQ.x,4.93333300,-0.46571060
LeftFootQ.x,5.75000000,-0.46354100
LeftFootQ.x,6.58333300,-0.46484920
LeftFootQ.x,7.40000100,-0.46582600
LeftFootQ.x,8.23333400,-0.46674780
LeftFootQ.x,8.33333400,-0.46708280
LeftFootQ.y,0.00000000,0.46708270
LeftFootQ.y,0.81666670,0.46904700
LeftFootQ.y,1.63333300,0.47062500
LeftFootQ.y,2.46666700,0.46984680
LeftFootQ.y,3.28333400,0.46798130
LeftFootQ.y,4.11666700,0.46582800
LeftFootQ.y,4.93333300,0.46710110
LeftFootQ.y,5.75000000,0.46981390
LeftFootQ.y,6.58333300,0.46830260
LeftFootQ.y,7.40000100,0.46778080
LeftFootQ.y,8.23333400,0.46690070
LeftFootQ.y,8.33333400,0.46708270
LeftFootQ.z,0.00000000,-0.53088040
LeftFootQ.z,0.81666670,-0.52981500
LeftFootQ.z,1.63333300,-0.52816280
LeftFootQ.z,2.46666700,-0.52721320
LeftFootQ.z,3.28333400,-0.52997890
LeftFootQ.z,4.11666700,-0.53222330
LeftFootQ.z,4.93333300,-0.53014800
LeftFootQ.z,5.75000000,-0.52657290
LeftFootQ.z,6.58333300,-0.52726920
LeftFootQ.z,7.40000100,-0.52846950
LeftFootQ.z,8.23333400,-0.53077410
LeftFootQ.z,8.33333400,-0.53088030
LeftFootQ.w,0.00000000,0.53088020
LeftFootQ.w,0.81666670,0.53089620
LeftFootQ.w,1.63333300,0.53430590
LeftFootQ.w,2.46666700,0.53567180
LeftFootQ.w,3.28333400,0.53333960
LeftFootQ.w,4.11666700,0.53073490
LeftFootQ.w,4.93333300,0.53279780
LeftFootQ.w,5.75000000,0.53584130
LeftFootQ.w,6.58333300,0.53534590
LeftFootQ.w,7.40000100,0.53376720
LeftFootQ.w,8.23333400,0.53144080
LeftFootQ.w,8.33333400,0.53088020
RightFootT.x,0.00000000,-0.01245514
RightFootT.x,0.28333340,-0.01313237
RightFootT.x,0.48333330,-0.01349508
RightFootT.x,0.65000000,-0.01255038
RightFootT.x,0.86666670,-0.01121699
RightFootT.x,1.13333300,-0.00990500
RightFootT.x,1.33333300,-0.00889740
RightFootT.x,1.48333300,-0.00858768
RightFootT.x,1.68333300,-0.00870997
RightFootT.x,1.86666700,-0.00791822
RightFootT.x,1.98333300,-0.00734386
RightFootT.x,2.20000000,-0.00673839
RightFootT.x,2.33333300,-0.00642223
RightFootT.x,2.55000000,-0.00610076
RightFootT.x,2.70000000,-0.00593966
RightFootT.x,2.85000000,-0.00612734
RightFootT.x,2.96666700,-0.00656987
RightFootT.x,3.23333400,-0.00893646
RightFootT.x,3.55000000,-0.01011027
RightFootT.x,3.70000000,-0.01057589
RightFootT.x,3.90000000,-0.01109518
RightFootT.x,4.10000000,-0.01100944
RightFootT.x,4.30000000,-0.01100365
RightFootT.x,4.50000000,-0.01107840
RightFootT.x,4.66666700,-0.01080194
RightFootT.x,4.81666700,-0.00961084
RightFootT.x,4.98333400,-0.00859865
RightFootT.x,5.18333300,-0.00854316
RightFootT.x,5.33333300,-0.00859041
RightFootT.x,5.50000000,-0.00815891
RightFootT.x,5.80000000,-0.00789524
RightFootT.x,5.98333400,-0.00727452
RightFootT.x,6.15000000,-0.00706832
RightFootT.x,6.36666700,-0.00794806
RightFootT.x,6.51666700,-0.00842241
RightFootT.x,6.71666700,-0.00929194
RightFootT.x,7.00000000,-0.01029273
RightFootT.x,7.20000000,-0.01049153
RightFootT.x,7.46666700,-0.01078942
RightFootT.x,7.73333400,-0.01190887
RightFootT.x,7.91666700,-0.01255005
RightFootT.x,8.10000000,-0.01221675
RightFootT.x,8.33333400,-0.01245510
RightFootT.y,0.00000000,-0.97745200
RightFootT.y,8.33333400,-0.97745200
RightFootT.z,0.00000000,-0.07027916
RightFootT.z,0.53333340,-0.07298190
RightFootT.z,0.83333340,-0.07269129
RightFootT.z,1.43333300,-0.07758767
RightFootT.z,2.06666700,-0.08558974
RightFootT.z,2.61666700,-0.08124303
RightFootT.z,3.16666700,-0.07885845
RightFootT.z,3.78333400,-0.07129557
RightFootT.z,4.01666700,-0.06944917
RightFootT.z,4.83333300,-0.07329631
RightFootT.z,5.43333300,-0.07928943
RightFootT.z,5.86666700,-0.08220402
RightFootT.z,6.30000000,-0.08025244
RightFootT.z,6.80000000,-0.07665964
RightFootT.z,7.03333400,-0.07705865
RightFootT.z,7.36666700,-0.07549831
RightFootT.z,7.68333400,-0.07404832
RightFootT.z,8.33333400,-0.07027865
RightFootQ.x,0.00000000,-0.50000000
RightFootQ.x,0.81666670,-0.49947550
RightFootQ.x,1.63333300,-0.49576920
RightFootQ.x,2.46666700,-0.49591610
RightFootQ.x,3.28333400,-0.49708000
RightFootQ.x,4.11666700,-0.49936790
RightFootQ.x,4.93333300,-0.49794530
RightFootQ.x,5.75000000,-0.49631090
RightFootQ.x,6.58333300,-0.49814480
RightFootQ.x,7.40000100,-0.49871760
RightFootQ.x,8.23333400,-0.49962620
RightFootQ.x,8.33333400,-0.50000020
RightFootQ.y,0.00000000,0.50000010
RightFootQ.y,0.81666670,0.50045100
RightFootQ.y,1.63333300,0.50262780
