Property,Time,Value
LeftHandQ.y,0.16666670,0.09745946
LeftHandQ.y,0.26666670,0.12361690
LeftHandQ.y,0.36666670,0.06881783
LeftHandQ.y,0.41666670,0.05607898
LeftHandQ.y,0.46666670,0.06945660
LeftHandQ.y,0.50000000,0.08540668
LeftHandQ.y,0.53333340,0.09335106
LeftHandQ.z,0.00000000,0.74665290
LeftHandQ.z,0.21666670,0.78925570
LeftHandQ.z,0.40000000,0.75130380
LeftHandQ.z,0.53333340,0.74664730
LeftHandQ.w,0.00000000,-0.61173890
LeftHandQ.w,0.20000000,-0.56780180
LeftHandQ.w,0.30000000,-0.59250690
LeftHandQ.w,0.41666670,-0.59795290
LeftHandQ.w,0.53333340,-0.61175670
RightHandT.x,0.00000000,0.22283590
RightHandT.x,0.03333334,0.18219740
RightHandT.x,0.06666667,0.16954310
RightHandT.x,0.10000000,0.19492290
RightHandT.x,0.13333330,0.23767010
RightHandT.x,0.16666670,0.29133890
RightHandT.x,0.20000000,0.30659280
RightHandT.x,0.26666670,0.22129730
RightHandT.x,0.30000000,0.18775050
RightHandT.x,0.36666670,0.21784930
RightHandT.x,0.45000000,0.31520620
RightHandT.x,0.53333340,0.22283510
RightHandT.y,0.00000000,0.51328020
RightHandT.y,0.08333334,0.47247650
RightHandT.y,0.15000000,0.52177040
RightHandT.y,0.28333340,0.49604940
RightHandT.y,0.35000000,0.47885130
RightHandT.y,0.41666670,0.52071190
RightHandT.y,0.53333340,0.51328100
RightHandT.z,0.00000000,0.30658610
RightHandT.z,0.08333334,0.31087630
RightHandT.z,0.16666670,0.32326450
RightHandT.z,0.21666670,0.31105160
RightHandT.z,0.30000000,0.31144980
RightHandT.z,0.38333340,0.31229610
RightHandT.z,0.48333330,0.29891400
RightHandT.z,0.53333340,0.30658610
RightHandQ.x,0.00000000,-0.37143750
RightHandQ.x,0.05000000,-0.15172370
RightHandQ.x,0.06666667,-0.12565130
RightHandQ.x,0.08333334,-0.13652270
RightHandQ.x,0.10000000,-0.17970150
RightHandQ.x,0.11666670,-0.26313900
RightHandQ.x,0.16666670,-0.52374790
RightHandQ.x,0.21666670,-0.54005690
RightHandQ.x,0.25000000,-0.38969160
RightHandQ.x,0.28333340,-0.18617420
RightHandQ.x,0.30000000,-0.10932900
RightHandQ.x,0.31666670,-0.07610542
RightHandQ.x,0.33333330,-0.08276391
RightHandQ.x,0.35000000,-0.13771870
RightHandQ.x,0.41666670,-0.51905720
RightHandQ.x,0.48333330,-0.59642890
RightHandQ.x,0.51666670,-0.46574720
RightHandQ.x,0.53333340,-0.37143770
RightHandQ.y,0.00000000,-0.70613960
RightHandQ.y,0.03333334,-0.77863030
RightHandQ.y,0.10000000,-0.73239110
RightHandQ.y,0.13333330,-0.67282580
RightHandQ.y,0.20000000,-0.54834960
RightHandQ.y,0.26666670,-0.76504490
RightHandQ.y,0.33333330,-0.78853660
RightHandQ.y,0.40000000,-0.67219440
RightHandQ.y,0.46666670,-0.50842700
RightHandQ.y,0.53333340,-0.70613970
RightHandQ.z,0.00000000,0.41944750
RightHandQ.z,0.03333334,0.45932670
RightHandQ.z,0.06666667,0.51102200
RightHandQ.z,0.10000000,0.51635750
RightHandQ.z,0.15000000,0.43905660
RightHandQ.z,0.21666670,0.38969860
RightHandQ.z,0.26666670,0.39351110
RightHandQ.z,0.30000000,0.44882420
RightHandQ.z,0.33333330,0.48128760
RightHandQ.z,0.38333340,0.41109730
RightHandQ.z,0.40000000,0.37702450
RightHandQ.z,0.45000000,0.35389580
RightHandQ.z,0.51666670,0.40605400
RightHandQ.z,0.53333340,0.41944800
RightHandQ.w,0.00000000,0.43297240
RightHandQ.w,0.06666667,0.35810980
RightHandQ.w,0.11666670,0.43106690
RightHandQ.w,0.20000000,0.46319950
RightHandQ.w,0.26666670,0.42221110
RightHandQ.w,0.33333330,0.37379460
RightHandQ.w,0.38333340,0.45368330
RightHandQ.w,0.46666670,0.46593150
RightHandQ.w,0.51666670,0.45285460
RightHandQ.w,0.53333340,0.43297150
Spine Front-Back,0.00000000,-0.00000013
Spine Front-Back,0.01666667,0.00685172
Spine Front-Back,0.03333334,0.01233494
Spine Front-Back,0.05000000,0.01447894
Spine Front-Back,0.06666667,0.01349188
Spine Front-Back,0.08333334,0.00873567
Spine Front-Back,0.10000000,0.00084723
Spine Front-Back,0.11666670,-0.01054966
Spine Front-Back,0.13333330,-0.02298429
Spine Front-Back,0.15000000,-0.03510261
Spine Front-Back,0.16666670,-0.04405629
